POS,PLAYERID,NAME,NFLTEAM
QB,14881,Russell Wilson,Sea
QB,2330,Tom Brady,NE
QB,17795,Carson Wentz,Phi
QB,8416,Alex Smith,KC
QB,14880,Kirk Cousins,Wsh
QB,17907,Dak Prescott,Dal
QB,13994,Cam Newton,Car
QB,12483,Matthew Stafford,Det
QB,2580,Drew Brees,NO
QB,18246,Deshaun Watson,Hou
QB,17794,Jared Goff,LAR
QB,14163,Tyrod Taylor,Buf
QB,11237,Matt Ryan,Atl
QB,5536,Ben Roethlisberger,Pit
QB,5529,Philip Rivers,LAC
QB,17610,Marcus Mariota,Ten
QB,15168,Case Keenum,Min
QB,3609,Josh McCown,NYJ
QB,17870,Jacoby Brissett,Ind
QB,14012,Andy Dalton,Cin
QB,5526,Eli Manning,NYG
QB,16724,Blake Bortles,Jax
QB,16757,Derek Carr,Oak
QB,8439,Aaron Rodgers,GB
QB,4459,Carson Palmer,Ari
QB,9597,Jay Cutler,Mia
QB,17399,Jameis Winston,TB
QB,18328,DeShone Kizer,Cle
QB,17455,Trevor Siemian,Den
QB,18268,C.J. Beathard,SF
QB,11252,Joe Flacco,Bal
QB,18168,Mitchell Trubisky,Chi
QB,8664,Ryan Fitzpatrick,TB
QB,12477,Brian Hoyer,NE
QB,17613,Brett Hundley,GB
QB,14879,Brock Osweiler,Den
QB,11128,Matt Moore,Mia
QB,17927,Kevin Hogan,Cle
QB,15837,Mike Glennon,Chi
QB,10487,Drew Stanton,Ari
QB,13197,Sam Bradford,Min
QB,16943,Tom Savage,Hou
QB,13987,Blaine Gabbert,Ari
QB,15803,EJ Manuel,Oak
QB,14037,Ryan Mallett,Bal
QB,13484,Joe Webb,Buf
QB,8644,Matt Cassel,Ten
QB,17872,Cody Kessler,Cle
QB,18459,Cooper Rush,Dal
QB,9635,Kellen Clemens,LAC
QB,8627,Derek Anderson,Car
QB,2549,Mike Vick,Pit
QB,4260,Shaun Hill,Min
QB,5209,Tony Romo,Dal
QB,5615,Matt Schaub,Atl
QB,5631,Luke McCown,Dal
QB,8559,Dan Orlovsky,LAR
QB,9650,Tarvaris Jackson,Sea
QB,9667,Charlie Whitehurst,Cle
QB,9780,Bruce Gradkowski,Pit
QB,11394,Josh Johnson,Hou
QB,11443,Matt Flynn,NO
QB,12473,Josh Freeman,Ind
QB,12482,Mark Sanchez,Chi
QB,13198,Jimmy Clausen,Bal
QB,13199,Colt McCoy,Wsh
QB,13202,Dan LeFevour,TB
QB,13606,Thaddeus Lewis,Bal
QB,13966,Christian Ponder,SF
QB,14001,Colin Kaepernick,SF
QB,14114,T.J. Yates,Hou
QB,14275,Jerrod Johnson,Dal
QB,14874,Andrew Luck,Ind
QB,14875,Robert Griffin III,Cle
QB,14876,Ryan Tannehill,Mia
QB,14878,Brandon Weeden,Ten
QB,14882,Kellen Moore,Dal
QB,14883,Ryan Lindley,Ind
QB,15407,Matt Simms,Atl
QB,15693,Alex Tanney,Ten
QB,15891,Ryan Nassib,Jax
QB,15894,Sean Renfree,Atl
QB,15935,Zac Dysert,Ari
QB,15948,Matt Barkley,Ari
QB,16140,Ryan Griffin,TB
QB,16252,Tyler Bray,KC
QB,16593,Matt McGloin,Hou
QB,16728,Teddy Bridgewater,Min
QB,16736,Johnny Manziel,Cle
QB,16760,Jimmy Garoppolo,SF
QB,16810,AJ McCarron,Cin
QB,16812,Tajh Boyd,Pit
QB,16814,Zach Mettenberger,Pit
QB,16821,David Fales,Mia
QB,16915,Keith Wenning,Buf
QB,17021,Aaron Murray,KC
QB,17206,Matt Blanchard,Chi
QB,17207,Dustin Vaughan,Bal
QB,17398,Connor Shaw,Chi
QB,17434,Bryce Petty,NYJ
QB,17527,Dylan Thompson,LAR
QB,17572,Garrett Grayson,NO
QB,17814,Paxton Lynch,Den
QB,17836,Christian Hackenberg,NYJ
QB,17877,Connor Cook,Oak
QB,17911,Cardale Jones,LAC
QB,17948,Nate Sudfeld,Phi
QB,17952,Jake Rudock,Det
QB,17959,Brandon Allen,LAR
QB,17965,Jeff Driskel,Cin
QB,17978,Brandon Doughty,Mia
QB,18008,Trevone Boykin,Sea
QB,18028,Taylor Heinicke,Min
QB,18070,Stephen Morris,Ind
QB,18090,Joe Callahan,GB
QB,18198,Brad Kaaya,Det
QB,18205,Chad Kelly,Den
QB,18210,Patrick Mahomes,KC
QB,18229,Joshua Dobbs,Pit
QB,18401,Davis Webb,NYG
QB,18469,Taysom Hill,NO
QB,15187,Austin Davis,Sea
QB,15864,Geno Smith,NYG
QB,12471,Chase Daniel,NO
QB,11291,Chad Henne,Jax
QB,15904,Landry Jones,Pit
QB,17533,Sean Mannion,LAR
QB,14353,Scott Tolzien,Ind
QB,14877,Nick Foles,Phi
QB,18252,Nathan Peterman,Buf
RB,17683,Todd Gurley II,LAR
RB,18225,Kareem Hunt,KC
RB,17797,Ezekiel Elliott,Dal
RB,15825,Le'Veon Bell,Pit
RB,13981,Mark Ingram,NO
RB,17586,Melvin Gordon,LAC
RB,18187,Alvin Kamara,NO
RB,18218,Leonard Fournette,Jax
