SEASON,SCORINGPERIOD,WEEK_NM,TEAM,TEAMNAME,SLOT,PLAYERID,PLAYERNAME,PLAYEROPP,GAMEOUTCOME,PLAYERPOINTS,STARTERPOINTS,BENCHPOINTS
2016,1,1,1,Scott,QB,5526,Eli Manning,@Dal,W 20-19,16,86,51
2016,1,1,1,Scott,RB,17797,Ezekiel Elliott,NYG,L 19-20,11,86,51
2016,1,1,1,Scott,RB,12497,Arian Foster,@Sea,L 10-12,7.5,86,51
2016,1,1,1,Scott,WR,16737,Mike Evans,@Atl,W 31-24,15.5,86,51
2016,1,1,1,Scott,WR,15818,Keenan Allen,@KC,L 27-33,6,86,51
2016,1,1,1,Scott,TE,14900,Coby Fleener,Oak,L 34-35,0.5,86,51
2016,1,1,1,Scott,FLEX,12579,Jeremy Maclin,SD,W 33-27,13,86,51
2016,1,1,1,Scott,LB,13284,Sean Lee,NYG,L 19-20,7,86,51
2016,1,1,1,Scott,DL,13979,J.J. Watt,Chi,W 23-14,0.5,86,51
2016,1,1,1,Scott,DB,17692,Landon Collins,@Dal,W 20-19,7,86,51
2016,1,1,1,Scott,D/ST,60014,Rams D/ST,@SF,L 0-28,0,86,51
2016,1,1,1,Scott,K,17169,Chandler Catanzaro,NE,L 21-23,2,86,51
2016,1,1,1,Scott,Bench,17133,Isaiah Crowell,@Phi,L 10-29,14.5,86,51
2016,1,1,1,Scott,Bench,14129,Bilal Powell,Cin,L 22-23,4.5,86,51
2016,1,1,1,Scott,Bench,17643,Phillip Dorsett,Det,L 35-39,9,86,51
2016,1,1,1,Scott,Bench,14922,Mohamed Sanu,TB,L 24-31,16,86,51
2016,1,1,1,Scott,Bench,14145,Charles Clay,@Bal,L 7-13,4,86,51
2016,1,1,1,Scott,Bench,60009,Packers D/ST,@Jax,W 27-23,2,86,51
2016,1,1,1,Scott,Bench,17869,C.J. Prosise,Mia,W 12-10,1,86,51
2016,1,1,8,Thomas,QB,4459,Carson Palmer,NE,L 21-23,16,77,44.5
2016,1,1,8,Thomas,RB,12503,Rashad Jennings,@Dal,W 20-19,7.5,77,44.5
2016,1,1,8,Thomas,RB,17832,Derrick Henry,Min,L 16-25,4,77,44.5
2016,1,1,8,Thomas,WR,16799,Allen Robinson,GB,L 23-27,5,77,44.5
2016,1,1,8,Thomas,WR,13215,Dez Bryant,NYG,L 19-20,0.5,77,44.5
2016,1,1,8,Thomas,TE,15860,Jordan Reed,Pit,L 16-38,6,77,44.5
2016,1,1,8,Thomas,FLEX,13271,Eric Decker,Cin,L 22-23,10.5,77,44.5
2016,1,1,8,Thomas,LB,17159,Telvin Smith,GB,L 23-27,9,77,44.5
2016,1,1,8,Thomas,DL,15785,Ezekiel Ansah,@Ind,W 39-35,2.5,77,44.5
2016,1,1,8,Thomas,DB,12426,Malcolm Jenkins,Cle,W 29-10,1,77,44.5
2016,1,1,8,Thomas,D/ST,60020,Jets D/ST,Cin,L 22-23,2,77,44.5
2016,1,1,8,Thomas,K,15058,Blair Walsh,@Ten,W 25-16,13,77,44.5
2016,1,1,8,Thomas,Bench,13587,Chris Ivory,GB,L 23-27,0,77,44.5
2016,1,1,8,Thomas,Bench,11788,Danny Woodhead,@KC,L 27-33,17.5,77,44.5
2016,1,1,8,Thomas,Bench,17805,Corey Coleman,@Phi,L 10-29,6.5,77,44.5
2016,1,1,8,Thomas,Bench,14901,Dwayne Allen,Det,L 35-39,13,77,44.5
